微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwtV9phAc,别人勾搭领导，我们敢怒不敢言，不知道怎么办，轮到自己和领导有点私交，同事们立刻风言风语，团队都孤立我，还是不知道怎么办。到头来倒霉的还是自己，到底该怎么办呢？唉 原图,http://wx1.sinaimg.cn/large/94900170ly1gcdl2uw77vj20yi0c941x.jpg,无,无,2020-02-29 21:20,iPhone 8 Plus,2,0,0
微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwtV9phAc,别人勾搭领导，我们敢怒不敢言，不知道怎么办，轮到自己和领导有点私交，同事们立刻风言风语，团队都孤立我，还是不知道怎么办。到头来倒霉的还是自己，到底该怎么办呢？唉 原图,http://wx1.sinaimg.cn/large/94900170ly1gcdl2uw77vj20yi0c941x.jpg,无,无,2020-02-29 21:20,iPhone 8 Plus,50,3,16
IwtlFq24I,做事靠谱是最可贵的品质。一个人大凡能做点成绩，都能说明他有做事靠谱的习惯。很多来信提问的同学，都喜欢说自己的规划，打算，想法，这些其实都只是“想”，却很少有人会提到“做”。良好的自律性和强大的执行力，知道如何在团队中与人配合，这些素质就是做。只有“想”，没有“做”，其实一辈子都无法真判断初自己的想法到底对不对。先开始做，有了行动，才能验证，问别人意见，求如何评价自己的想法，这种其实真的给不出意见，也给不出评价。                原图                            ,http://wx2.sinaimg.cn/large/94900170gy1gcdim21dpxj20pb0pbh5o.jpg,无,无,2020-02-29 19:52,微博 weibo.com,309,69,50
Iwt8z9nWX,入不敷出就别想着安稳上班了，车别开了骑车或者公交上下班，老公出去跑滴滴，自己收入干着，如果有学历的话，挂在家教中心下班了去做家教，或者找美甲美容店之类的兼职。都入不敷出了还想着开车上下班，看书学习，都不瞎胡闹嘛。 原图,http://wx4.sinaimg.cn/large/94900170ly1gcdhlnpxl2j20yi2yinpe.jpg,无,无,2020-02-29 19:20,iPhone 8 Plus,799,16,93
IwstTo9Ua,知乎上有一个问题，真的有一生顺利没有吃过苦难的人么？没有，不存在。这个问题的性质类似：正义可能迟到，但永远不会缺席。吃苦卖力也是一个道理。而且一定要记住。迟到比早到，对人的摧残更厉害，人越受苦。普通小公务员，做事消极怠工，被领导批评，骂了几次，不敢渎职了，以后兢兢业业。小公务员时候不认真做事，擅长拍马屁有后台，升职了，20年后当局长了，随便搞豆腐渣工程，出事了，坐牢。前者的正义到来，只是挨骂几顿，后果很小，后者的正义到来，那时候的小公务员，以后老婆孩子都有了，孩子可能都读大学了，自己身体也不行了，可能当天晚上就脑溢血，头发白了一半，财产全部没收，老婆改嫁，孩子退学。家破人亡，后果极为严重。吃苦这件事也是一个道理。小时候挫折多些，心志坚定，长大了再遇到类似的事情，总能坦然自若，大一时候苦些，毕业时候总要轻松一点，更自如一点，刚毕业时候苦些，人到中年了总要轻松一点，怕就怕：从小娇生惯养一帆风顺，长大了遇到一点小事，立刻精神崩溃，大一时候洗澡舒舒服服，大四了要把洗澡水喝下苦不堪言，刚毕业时候啃老好吃懒做，到了中年父母离世家境中落，一下颓唐，整个人变的不人不鬼。未雨绸缪，早做准备，抗击风险。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcdes6xapjj20b40b4wkv.jpg,无,无,2020-02-29 17:40,微博 weibo.com,904,140,163
IwsnT5Sb3,下属遇到工作困难，一定要及时的跟上司谈，哪怕上司脸色不好，骂人，也一定要坚持。这个沟通过程，就叫搞定上司。学会这点的下属，才能和上司如鱼得水，才能有前途。具体的沟通方法，就是正式话术：我需要您的support——这是外企，有些事情需要跟您请教——这是私企。 ,无,无,无,2020-02-29 17:25,微博 weibo.com,936,222,112
IwshMgrj9,#奶爸鸡汤辟谣系列# 029奶爸，关注您很久了，最近在看您写的反鸡汤系列。很喜欢，真知灼见。想问下，我们办公室墙上挂着的：“诸葛亮从来不问刘备，为什么我们的箭那么少？关羽从来不问刘备，为什么我们的士兵那么少？张飞从来不问刘备，兵临城下我该怎么办？于是一一有了草船借箭、有了过五斩六将、有了据水断桥吓退曹兵……如果一切准备就绪，还需要你干什么。”这算鸡汤吗？算鸡汤，而且是不正确的鸡汤。刘备还在的时候，手下人的职位是这样的：关羽大于诸葛亮大于张飞。刘备是主帅，关羽是副帅，刘备如果要出去打仗，基本都是关羽全权负责一切事宜，要派人出去打仗，肯定也是关羽牵头。张飞是大将，但不能当帅，曾经也给他机会让他在徐州守城，结果被吕布偷袭，城丢了，这事之后，张飞的地位一直都要低关羽一头，属于犯过重大错误的干部，重新任用。诸葛亮一开始没到大家想的那么重要的地位，军政一体，全权负责。那是刘备死了之后，刘备还活着的时候，主要让他负责战略和后勤。这样的公司分配，用人策略，是很合理的。所以确实不应该是诸葛亮、关羽、和张飞跟刘备要箭要兵要人。应该是反过来，刘备朝他们要。军队缺箭了，要问管后勤的诸葛亮，小亮啊，前方箭不够了，想办法调度下，帮帮忙，军队缺人了，要问管练兵的副帅关羽：老关啊，兵练的咋样啦？啥时候能用啊，咱们要扩充人啊。出门打仗，留张飞守城，要问负责守城的张飞：阿飞啊，考考你，万一有人偷袭，咋办啊，你要如何如何呀，叮嘱到位，这个职场逻辑是反过来的，老板要用人不疑，疑人不用，而且要擅长用人。员工如果不经常问老板，不跟老板交流，老板对手下的工作一无所知，公司就完蛋了，员工要经常和老板沟通，老板也要经常和员工交流，了解员工一线工作的实际，公司才能蓬勃发展。话说回来，张飞确实没问过刘备兵临城下我该怎么办？所以徐州失守了，被吕布偷袭。徐州在刘备的创业历史上，是至关重要的，称得上是白手起家的第一桶金，好不容易慢慢发展了，结果被吕布摆了一道，而且吕布还是刘备收留的，驻扎在小沛，徐州失守后，刘备只能窝囊的去小沛驻扎，被袁术明着欺负，这件事更导致了吕布后来膨胀跟曹操硬刚，最后白门楼被活捉，当时刘备已经投奔曹操，成了一位谋士，曹操问吕布投降要不要收他，这人天下无敌好牛逼的，刘备说这人该杀，难道你忘了丁原董卓？所以吕布临死前说了五个字“大耳贼害我！”你看，这一切的悲剧，都源自这句话：张飞从来不问刘备，兵临城下我该怎么办？你说编这鸡汤的人，心眼黑不黑吧。。。为吕布叹气，死的冤~                原图                            ,http://wx3.sinaimg.cn/large/94900170gy1gcddx4cao7j21hc0u0hdt.jpg,无,无,2020-02-29 17:10,微博 weibo.com,199,38,23
IwrAw8Fyn,奶爸，你好。麻烦厚。女朋友很胖，大概130多，有希望瘦下来吗？随着年龄的增长，男人对女人的身材是怎么看待的？会因为女人身材不好而出轨的概率增大吗？盼复，勿喷答：慢碳减肥法，是绝对可以健康稳定的瘦下来的，而且可以作为终身坚持的习惯。一开始慢一点无所谓，只要坚持住一个月瘦5-10斤都不是啥问题，坚持3个月就能成功。所谓的慢碳减肥法，非常简单，就是替换主食。平时吃米饭，面条，用别的慢碳主食换掉即可。比如中午必须吃满满一碗米饭才饱，那就把米饭换成山药，同样体积的山药，热量至少低了一半，但是吃起来饱腹感是一模一样的。别的菜，肉，照常吃，别放太多油和盐即可。这个方法非常简单，但是普通人没法坚持，难点主要有2：1，自己做饭很麻烦，难以坚持，2，口感不适应，一开始把米饭换成山药，土豆，不习惯。2很好解决，把菜做的美味可口一些，好吃一点，慢慢适应山药土豆的口感，吃一段时间就习惯了。广泛使用大米作为主食的国家，在全世界范围内其实是不多的，很多地方的人都不习惯吃米饭，他们吃豆类和土豆作为主食，千百年来身体健康和营养都没出现过问题，所以中国人换主食，根本不必杞人忧天。1就比较麻烦，最好的解决方法就是，你帮忙做。只要是吃现成饭，饭来张口，有人带着自己运动，把生活习惯变成健康的，瘦的，性感美女的生活习惯。那么你媳妇很快也会变成性感美女。这叫习惯养成。另：主食还可以变成紫薯，红薯，白薯等薯类，豆类比如鹰嘴豆啥的也成，但是豆类吃多了胃不舒服，我还是选择山药，土豆，薯类，尤其是山药，真是减肥利器。图是我自己做的午饭，可以供你在做菜方法和具体使用分量做参考。卖相不好，但是味道不错，春节回家，没法运动，我又瘦了3斤。（山药我都是盛堆尖满满一碗，图中是吃了一半）                原图                            ,http://wx3.sinaimg.cn/large/94900170gy1gcdavzap0gj21400u0n3y.jpg,无,无,2020-02-29 15:24,微博 weibo.com,2622,262,599
Iwrp67iK3,另外找漂亮媳妇就不能指望她做家务，这是个常识了其实。因为漂亮和做家务是互斥的，不存在兼容。抗衰老，需要花钱精心打理，做家务为生活操劳担心，会加速衰老这个过程。如果你就是颜控，就想娶漂亮老婆，那娶回家就必须得想尽办法让她保持美貌，那么老婆必然是过着养尊处优的生活的。指望老婆漂亮，工作强能赚钱，这个也还好。同时要求老婆崇拜，温柔，性格好，贤惠，做家务。这个是百分百完全不可能的，幼稚小男生的想法。稍微成熟一点的男性，其实都明白这点。比较实际一点而且比较常见的，就是老婆漂亮，性格好，给情绪价值，善解人意，但是不干活，家务活你做或者请钟点工，工不工作随缘。注意，这不是什么女拳，什么思想，什么号召，什么提议。这是我真实的见闻和经验，属于社会事实。我只提供事实，不提供观点。越早接受这个事实的男生，找到漂亮老婆的概率越大。                                ,无,无,无,2020-02-29 14:55,微博 weibo.com,4264,577,552
