微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IjdvMbxVE,亲爱的网友你好呀，欢迎你关注恶魔奶爸。这里是一位教育问答类博主，开微博主要是为了分享一些浅薄的人生经验，涉及工作，学习和生活的方方面面。期待未来我们可以互相学习，多多交流，共同进步。为了让您更好的理解和运用实践本博的一些方法经验，欢迎阅读以下的自我介绍：1，本博分享的重点内容：有关求职，工作方法，职业规划，事业发展，行业经验，创业等方面。恶魔奶爸今年30多岁，尚未结婚，id源自同名日本漫画，请不要误会。博主本人的起点非常低，农村出身，家境贫寒，三本学历，人脉全无。毕业后在上海的一家外企做了几年猎头，做过重工，机械，财务，物流，供应链，市场，广告，医疗，快消等等十几个行业的人才招聘和人才咨询工作，这些项目从普通主管到总经理都包括，所以清楚知道每个行业明确的职业晋升路线。离开猎头行业后，非常幸运，也非常荣幸的接到了网易有道的邀请，成为了网易的正式员工。因为在甲方公司（网易）里待过，这段经历让本博对整个互联网行业的认知都非常清晰和深入，同时把之前在传统行业（猎头），和高新行业（互联网）的经验，一下子全都串联起来，让本博对职场的认识非常全面，这种特殊的经历，您可能在网上很难找到类似的人。博主本人现居广州，在广州经营着一家小小的创业公司，欢迎广州的朋友找我喝茶交流~2，本博分享的主要内容：有关演讲训练，口才，社交，英语口语练习方面。博主三本毕业后，能够进入到相当不错的外企做猎头，主要就是靠英语，口才，和交际能力。英语曾经从高中不及格，到大学里的专八裸考高分，全校英语演讲比赛冠军，再到新东方杯、China Speaks等顶级英语演讲大赛评委，加上在外企职场的工作经验，长期坚持的英语训练给本博带来的绝对不仅仅只是技能，更多的是强大的口才和心态以及演讲技能，将博主在职场上的影响力发挥到极致，3，本博分享的次要内容：自媒体运营涨粉引流方法论除了现实工作外，恶魔奶爸一直有做自媒体运营的兴趣爱好，从豆瓣到知乎到微博到公众号到B站，在涨粉和内容创作运营方法，有十几年的经验心得，做自媒体运营和涨粉成为kol大V，绝对是有方法有步骤有系统的，任何一个普通人通过自己的努力也是可以做到的，因此这方面也是本博分享的一部分内容。这以上这些方面的经验和方法，本博的成功案例都非常多，有相当多的网友坚持实践本博的方法论，在英语/求职/交际/事业等方面，有所成果。比如只有三本学历的网友，用了本博分享的方法写简历，不但一投一个准，还被面试官点名夸赞，见图二。有的网友根据本博分享的英语学习方法，直接考研成功上岸，被西外高翻口译录取，见图三。有的网友，根据本博总结的面试方法，就算是当面霸，也拿到了所有心仪offer，见图四。天赋固然必要，但少走弯路更为重要。只要方法正确，汗水必将回报。即使是像本博一样低起点的普通人，通过不断修正成长，也能成为别人眼中的骄傲。 因为经常被抄袭和洗稿，微博现在设置了半年可见，很多网友表示想阅读更多的内容，那么欢迎您关注公众号「恶魔奶爸」，会有惊喜发现。（公众号id: lxg-milk或见图一的二维码）关注公众号后回复“求职”二字，就可以看到很多行业知识和求职技巧方法，回复“简历”二字，则会得到当猎头时，积累下的优秀简历模板和最实用的写简历方法。   人生无法复制，但经验却能传承，希望本博能用自己的人生经验，加快您通向成功的步伐。公众号里则有系统的方法论和各种相关资料，全部公开，帮你加速成长。随手一点，你会发现一个全新的世界~            [组图共4张]    原图                            ,无,2019-12-04 15:39,iPhone 8 Plus,1876,152,264,"http://ww1.sinaimg.cn/large/94900170gy1g9kqit2qh5j209k09kt8o.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd6sjjkj20u01hc7lh.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd7bic1j20ku112ajy.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd8a0t4j20u01hck6b.jpg",无
IwbjFxXHE,#奶爸鸡汤辟谣系列#026奶爸请问一个问题，之前网上有一个新闻是说阿里巴巴里面有一个女高管，原来是做文员的，就是帮忙打杂印材料什么的，然后就顺便帮别人定在一起，整理好。从小事上面做的特别的细致，特别的好，然后被上级主管注意到了，最后做到了主管的位置，所以说做行政支持岗其实也是可以做的很好的吗？这个鸡汤概括下就是：把手头的事情做到极致，你就会自然发光，不论多么差的岗位，都能迎来春天。这个故事大概率是真的，不过这里有一个问题。大部分小白，对于：手头的事情这个概念，理解有很大偏差。我这种老油条一看就知道。手头的事情做到极致，这个事情分两类：1，把行政杂事处理好，2，把老板马屁拍好，在公司里广结善缘，人人都认识，人人都喜爱。大部分小白只能理解到第一层次，所以这辈子活该做牛做马。故事里的什么女文员，打印材料细心，帮忙，被上级注意到，最后做了主管，然后逐步升职。这里最重要的地方是“被上级注意到”，而不是“打印材料细”。没有被上级注意，你活做出花来也没屁用。而且职场上根本就不存在，我活做的好，上级自然会注意到我这种好事，想多了。上级很忙的，根本不会翻你牌子，爱干干，不干滚。这个还是我们的高层关系理论。把工作做好，效率最大化，和跟上司搞好关系，和同事搞好关系，和办公室大家搞好关系。是两码事。是两个系统，两套方法。都需要精通。希望我说的足够明白了。                原图                            ,无,2020-02-27 21:58,微博 weibo.com,356,50,51,http://wx2.sinaimg.cn/large/94900170gy1gcbb05xgi2j20jg0ax74t.jpg,无
IwbfPDtxe,拆迁户的问题，超纲了，我没这个体验。欢迎房产高手来答。 原图,无,2020-02-27 21:49,微博 weibo.com,542,16,156,http://wx2.sinaimg.cn/large/94900170gy1gcbaqbg80zj20hs12i1gc.jpg,无
IwbeE3KtF,奶爸，你总说富人先购买资产，用资产自动产生的收益，我认同这个观点，可是穷人的储蓄和资源有限，怎样才像富人那样钱生钱答：20多岁的时候，工资永远是你收入的大头。这个时候重点研究求职，升职，适度理财和储蓄——以及佛系运营自媒体。但这时候大头仍然主要是打工。我们提到的什么升维降维，商业潮流，商业常识，高层关系等等，都是紧紧围绕着这个目的。工作得当，在30岁前，有个30万到手的年入，是不难的。这时候基本就可以考虑入手房产了，小户型的。入手房产后，基本人生就能进入快车道，只要你能忍住结婚生孩，结婚还好，生娃是极其严重的负债，也是导致现在的年轻人无法致富的一个重大障碍。以上仅针对一二线城市。普通城市的人，基本家里都有点余粮，考个编制，有公积金，家里出点赶紧把房买了，然后做做基金理财，保持个固定收益，就不错了。生娃可以生，反正小地方育儿成本也不算太高，老人也都可以帮你带。以上就是大致的策略，更具体的，回头我邀请一些实操的高手来讲讲。我自己比较擅长自媒体，求职，升职，职业规划，个人IP打造，还有创业和商业经营，这方面的课我先做好了，再找实操高手谈谈基金和炒股。                                ,无,2020-02-27 21:46,微博 weibo.com,519,152,160,无,无
IwaK55GqA,现在咋啥样的垃圾都能成老师？这个老师所谓的赚钱，无非就是死工资，做兼职，没一个是资产和现金流收入。不断的打工，不断的省吃俭用买贵重物品，永远没有积蓄，买不起房，不敢创业，做不了产业，收不了租，一辈子如同无根浮萍，永远不敢辞职，仿佛条被铁链牢牢拴住的狗，过了40多体力衰弱了，干不动了，朝不保夕，动荡凄惨。她应该庆幸自己有编制，如果没编制，年纪稍大点，真的狗都不如。资本家最爱这种傻逼人肉干电池，正确的做法是什么？富人先购买资产，用资产自动产生的收益再来购买奢侈品，而中产和穷人最热衷于用自己打工的血汗钱来购买奢侈品。问题在于如果你真的买了两套房，开始收租的时候，所有的“消费陷阱”，都不容易骗到你。因为体验到了“资产”的好处，然后对消费就没啥太大感觉了，会不自觉的想要继续投资，继续钱生钱。                原图                            ,无,2020-02-27 20:30,iPhone 8 Plus,1112,126,181,http://wx4.sinaimg.cn/large/94900170ly1gcb88gkdbvj20ty0vaakq.jpg,无
IwaCHDCuL,反正我注定买不起房，那不如买买奢侈品让自己开心开心。这种观点让我想起了那个著名笑话：你今年45岁了，抽烟几十年，要是不抽烟省下钱，现在都买得起法拉利了。医生你抽烟不？不抽啊。那你法拉利呢？就停在楼下，咋了？——————————————————————人生这么长，20多岁的人多长点脑子，多想想自己四五十岁时候的生活，比现在过一天是一天要强。                                ,无,2020-02-27 20:12,iPhone 8 Plus,1201,101,125,无,无
IwavO7LU3,#奶爸鸡汤辟谣系列#025女孩收入达到多高时可以购买奢侈品？年轻女孩大部分都爱漂亮、爱赶时髦，会想偶尔买一些奢侈品点缀一下自己。但是奢侈品的价格确实不菲，女生应该在达到多少收入（或有持有多少存款）时才算合理地购买奢侈品？特别对于刚开始工作的女生来说，购买奢侈品算过分（或逞强）吗？对刚毕业踏上工作岗位的人来说，哪些牌子算得上是奢侈品？30 岁呢？40 岁呢？（比如有些人把 MK/COACH 归为奢侈，有些把 B、C、D、P、L 归为奢侈。）是应该多存钱，还是应该及时享乐？有没有什么理财建议给予年轻刚工作的女孩？这个问题是知乎上的撕逼重灾区，无数人现身说法讲理财，讲消费，讲收入，能装的B全给他们装遍了。唯独没人提到一个永恒真理，基本常识：富人买入资产，中产阶级买入自以为是资产的负债，穷人只有支出。这一句话，就把这个问题彻底定调了。为什么你这么穷，永远也没办法成为富人？因为你这傻叉只对消费感兴趣，对资产毫无概念。啥叫资产？黄金，投资，房，生意，产业，这些都叫资产。资产就是可以帮你源源不断产生现金流的东西。在没有稳健的资产之前，整天琢磨消费是一件非常愚蠢的事情。但中产就喜欢钻研这些屁用没有的玩意儿。钱花出去，不能带来任何收益，但是感觉这是人上人，精英，优秀，高贵，上流阶层，高级。狗屁，这些是上流社会的资本家，割你这傻叉韭菜搞出来的概念。所以说，中产总是买入自以为是资产的负债，就这个道理。我买了，我提升了自己，不就是资产了么？根据这条真理，我们对这个问题基本可以盖棺论定：两个选择：1，拥有一家公司，自己完全不管一个月，也可以为自己赚钱，2，两套房以上，其中一套已经有了稳定的租户。至少达到这两个标准其中之一，才可以考虑购买奢侈品。按这个道理来说，普通人可能一辈子都没法购买奢侈品，岂不是很悲催？是的，一辈子都没法购买奢侈品，但一点都不悲催。人生最大的悲催是韭菜根都被薅秃了。为什么网上流行各种什么“年薪百万”过的也很惨压力太大的故事？因为这些傻叉自以为是的认为有死工资，打工当社畜，就可以过的很好了，可以奢侈了。车卖掉，打车或者公交地铁上班，孩子不要上贵族学校，就上普通幼儿园，老婆不要在家，让她出去上班，房子买小点，不要背那么严重的债务，老婆不要买奢侈品，已经有的赶紧卖掉，出国游断掉，日常普通生活，迪卡侬优衣库足够，千方百计想办法省钱，有第一点积蓄和稳定经济状态，立刻把房抵押出去，然后买第二套房，租出去，收到租金，租偿贷。以此不断复制，才能慢慢成为真正稳定的大产阶级，而不是整天唯唯诺诺，一有裁员就心惊肉跳，天天24小时哭泣，随时可能压力过大崩溃跳楼，第二天上社会新闻。打工社畜，没有资产，自以为是的进行高消费，这这群所谓高收入傻叉们悲惨人生的根源。                原图                            ,无,2020-02-27 19:55,微博 weibo.com,1548,552,304,http://wx1.sinaimg.cn/large/94900170gy1gcb7gbn7jgj20gx0cpn02.jpg,无
IwajxvwSR,#奶爸鸡汤辟谣系列#024好看女孩自带烧钱属性。本鸡汤为假。好看的女孩自带省钱属性：皮肤天生白皙光洁，不需要花钱买太多护肤品化妆品，头发天生黑亮发量多，不需要花钱植发护发素，身材好，天生臀翘胸大腰细，随便练两周马甲线就出来，不需要浪费钱报私教课，穿什么衣服都好看，不需要费尽心机和时间琢磨搭配和买大牌服饰。只有本身不那么好看，又想变好的女孩，才要烧钱。皮肤不太好，花钱护理，头发不太好，花钱护理和植额角，身材不太好，花钱运动。颜值气质不佳，花钱买昂贵衣物包首饰，打理形象。但是变美这种事，终究是有极限的，靠外力，不论如何也不可能成为大美人。不要指望靠外力。良好作息，早睡早起，适度运动，充足营养，保持好苗条有力，学会基本的平价穿搭，外表整洁干净，大方得体即可。一边节衣缩食的买着昂贵的神仙水，一边熬夜导致内分泌失调满脸大油光，正在做这种事的人，不在少数。最重要的是：有钱了，可以肆意追求变美，没钱，就接受自己，做好预期管理，想办法变有钱，再追求美。这个逻辑不能反过来。要量力而为，这是最重要的。人生最糟糕并不是不美，大家都是颜值普通人。最糟糕的是没继续，没存款，全部都是大牌收割完毕，一丁点抗风险能力都没有。朴素也是美，爱惜自己就是美，不要把花钱无度，和变美捆绑在一起。量力而为。                原图                            ,无,2020-02-27 19:25,微博 weibo.com,1596,157,227,http://wx4.sinaimg.cn/large/94900170gy1gcb6kj9yqaj20dw0dwtdv.jpg,无
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IjdvMbxVE,[置顶]亲爱的网友你好呀，欢迎你关注恶魔奶爸。这里是一位教育问答类博主，开微博主要是为了分享一些浅薄的人生经验，涉及工作，学习和生活的方方面面。期待未来我们可以互相学习，多多交流，共同进步。为了让您更好的理解和运用实践本博的一些方法经验，欢迎阅读以下的自我介绍：1，本博分享的重点内...全文[组图共4张]原图,无,2019-12-04 15:39,iPhone 8 Plus,1876,152,264,"http://ww1.sinaimg.cn/large/94900170gy1g9kqit2qh5j209k09kt8o.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd6sjjkj20u01hc7lh.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd7bic1j20ku112ajy.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd8a0t4j20u01hck6b.jpg",无
