微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IkGU21Mw6,[置顶]拒绝语言操控 远离空洞要求有人在我微博里反复评论说，要是写得再通俗易懂一点就好了。我说，那不是我的责任、义务，也不是我的能力。然后又有人说，不是你不能，是你不为。看得我七窍生烟！你们可能没看出来这里有什么问题。我提供一个类比，你们就明白。大人对小孩说：你看看别人家孩子，...全文 ,无,2019-12-14 08:19,微博国际版,1136,1128,155,无,无
IujO51SwC,一夜风雪。  ,无,2020-02-15 15:54,微博 weibo.com,24,0,11,无,无
Iu3Y6tvSw,孩子为什么喜欢出门玩？这跟青少年一定要跟人持续学习、成年人一定要到社会上连续工作，是一样的意思。玩，于孩子，也是一种生存练习，甚至生存竞争。不让孩子玩，等价于不让青少年到学校学习知识、不让成年人去市场或职场拼搏。孩子天天在家不能出去玩，与大人天天在家不能外出工作，难受的感觉是一样的。共同的难受感觉，说出来，给它名字，这样，也许会相对容易调节其幅度、大小、范围。                                 ,无,2020-02-13 23:35,微博 weibo.com,147,77,24,无,无
IstXxqMm3,“岂曰无衣？与子同袍。王于兴师，修我戈矛。与子同仇！ 岂曰无衣？与子同泽。王于兴师，修我矛戟。与子偕作！ 岂曰无衣？与子同裳。王于兴师，修我甲兵。与子偕行！ ” （诗经 秦风 无衣）  ,无,2020-02-03 14:05,微博 weibo.com,96,36,13,无,无
IrrQGpQ7n,多久没有流过泪了？感谢总理！感谢武汉新一代年轻人！这是武汉新一代年轻人与国家的约定。这是情绪的转折点。 剪枝者的微博视频  ,无,2020-01-27 18:52,微博国际版,359,62,43,无,"http://f.video.weibocdn.com/003t4BJnlx07AugUoRJC010412003chf0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1582899437&ssig=gvRjV%2F%2F4aN&KID=unistore,video"
Ir1A7j81y,祝朋友们新春快乐、家庭美满、生活如意、事业有成！  ,无,2020-01-25 00:00,微博 weibo.com,96,2,28,无,无
IqIcfCimD,我这个判断，还OK？  [组图共2张] 原图 ,无,2020-01-22 22:39,微博国际版,92,19,28,"http://ww2.sinaimg.cn/large/83393bb5gy1gb5pv9uk80j20ku0xqadp.jpg,http://ww3.sinaimg.cn/large/83393bb5gy1gb5pva418hj20ku0us456.jpg",无
Iqby398uf,中国城镇消费支出结构逐渐与美国接近目前来看，食品、住房和生活用品及服务、交通、教育文化娱乐、医疗，是相当稳定的五大支出项目，解释了中国和美国消费者支出的9成。这些赛道上的龙头企业，更容易获得稳定的ROE。食品对应着必选消费和可选消费的龙头企业；住房对应着房地产龙头企业，生活及服务对应着后地产的龙头企业，例如物业服务、家电、智能家电；交通对应着汽车整车和汽车产业链的龙头企业；教育文化娱乐也对应着教育行业和娱乐行业的龙头企业；医疗更是频频出高水准龙头企业的行业。住房、汽车容易受到周期影响，但是，食品、教育娱乐、医疗等行业一直就是很好的赛道，美国如此，中国也将如此。经济成熟了，数据就稳定了，分析数据因此变得非常有用。机会不单纯在于敢作敢为、猛打猛冲，机会更多的会来自理性分析高频的稳定的批量数据。机会不在于行动胆量，而在于理性分析。经济形态不同了，数理化大学毕业生该主导了。来星球看看详细分析吧！             [组图共2张]      原图                             ,无,2020-01-19 11:32,微博国际版,62,96,16,"http://ww3.sinaimg.cn/large/83393bb5gy1gb28qweumfj20lb07t74q.jpg,http://ww2.sinaimg.cn/large/83393bb5gy1gb1pqeh84zj20ju0vx3zx.jpg",无
Iq2JGeojB,1 产业周期与市场循环的趋同随着中国经济逐渐工业化、步入成熟状态，中国资本市场的表现将日益向美股和其他成熟市场的表现收敛。传统的朝代周期律早已失效，成为工业经济体以后，适用的是产业周期（以康波为代表）。传统农业社会的矛盾也不再是现代工业社会的主要矛盾。市场和技术驱动的产品供给，与信贷创造与实际收入支撑的购买需求，这两者之间的循环交错的匹配过程，成为了新的主要矛盾。从这个角度去分析一年年更趋成熟的中国经济及其搭配的社会现象，会更准确。这样的历程在日本、韩国都曾发生，只是在中国，规模更大、因此时间也更长。例如，城市化，在日本、韩国这样的单极经济体，一次城市化过程就结束了；在中国，要经历两次，第一次是在沿海，第二次是在内地，内地的幅度会小一些。又如，工业化，也是一样的情况。第一轮工业化的过程是在沿海展开的，第二轮工业化的过程是在内地、主要是内地南方中小城市展开的，幅度小于第一轮。日本、韩国没有第二轮，他们转移了低价值产业，很快转型为高科技经济体。中国的内地部分接纳了第二轮低价值产业，沿海城市和内地大城市则开始转型升级。中国这个多级经济体的沿海-内地的两轮工业化过程、加上同时叠加的高科技产业转型过程，增加了分析的复杂度。但是，最终，一切都会收敛到一样的周期、一样的市场。所以，美国的市场分析方法，随着年份推移，会越来越适用于中国的市场；十年、最多十五年之后，会高度趋同。2. 信息企业崛起带来美股指数的历史最大调整 2018年9月，为了反映技术类企业发展成为经济主要驱动力的趋势，美股指数管理方做了他们有史以来的最大一次改变，将一些重磅企业从技术类移出。在FAANG中，除了苹果依然留在Tech Sector，亚马逊依然在可选消费，谷歌、脸书、奈飞均划入新的类型，通信服务Communiation Service。（调整说明可参考： 1 市场解读 http://t.cn/A6vNuttk 2 官方说明 http://t.cn/A6vNutcv ）这是可以理解的。原有的指数行业划分，基于一百年前的工业经济。在信息产业历经半个多世纪，从兴起到成熟并主导成熟经济体之后，做出这样的调整，正反映了指数管理方能够与时俱进。我们也知道，巴菲特的投资公司近年开始大幅买入苹果公司股票，理由是苹果公司已经从一个技术公司变成消费类公司，就像当年的可口可乐一样令用户着迷。时代变了。这是新的时代。             [组图共6张]      原图                             ,无,2020-01-18 13:06,微博 weibo.com,58,50,6,"http://ww2.sinaimg.cn/large/83393bb5gy1gb0l2wvzfvj20kf0b4n1u.jpg,http://ww3.sinaimg.cn/large/83393bb5gy1gb0l4yuoh9j20io0ipag0.jpg,http://ww2.sinaimg.cn/large/83393bb5gy1gb0lb9prijj20j50a3my8.jpg,http://ww1.sinaimg.cn/large/83393bb5gy1gb0l7i3zemj20gi09a0wk.jpg,http://ww3.sinaimg.cn/large/83393bb5gy1gb0lc5tp80j20go0cjq78.jpg,http://ww2.sinaimg.cn/large/83393bb5gy1gb0mjlsq4hj20ha0d0myh.jpg",无
Iq1mRlRCY,这几个月，好多次早上起来看新闻，就是纳斯达克指数又创历史新高。后来道琼斯指数和标普500也来创新高了。天天就是新高、新高、新高。不由想起前两年有人说美股要崩。后来又说，坚持不懈的说。现在他们自己的观点崩没崩？不断新高，是泡沫么？嗯，别人的新高都是泡沫，自己的新高都是成果。人要不信数据，什么理由不能接受啊！不能全信数据，说不定这次新高就是见顶了呢？那当然啦！逻辑上无懈可击的是，下跌肯定是从新高下跌，总有一次新高之后是见顶啊！说得多好啊！这就像，他们看到有青年人庆祝自己的一项成就，于是理性的指出，年轻人，你的人生已经到达高点，以后就会下跌，这次不下跌，下次就会下跌，下次不下跌，下下次就会下跌。真的无懈可击！承认别人的优秀，就那么难？！纳斯达克指数肯定会在某次新高之后见顶，但我不会因为它新高就判断它很快见顶。             [组图共3张]      原图                             ,无,2020-01-18 09:37,微博国际版,65,13,37,"http://ww4.sinaimg.cn/large/83393bb5ly1gb0gsdkso4j20u00au777.jpg,http://ww1.sinaimg.cn/large/83393bb5ly1gb0gse8d5nj20tx148gs5.jpg,http://ww2.sinaimg.cn/large/83393bb5ly1gb0gsz97agj20ey0e60t9.jpg",无
